0	1	0
0	2	0
0	3	788
0	4	80
0	5	2
0	6	0
0	7	0
0	8	0
0	9	0
0	10	9
0	11	94
0	12	546
0	13	1376
0	14	1866
0	15	334
0	16	38
0	17	30
0	18	21
0	19	107
0	20	531
0	21	1435
0	22	1924
1	2	0
1	3	0
1	4	803
1	5	84
1	6	1
1	7	1
1	8	0
1	9	8
1	10	106
1	11	571
1	12	1430
1	13	1884
1	14	1428
1	15	267
1	16	37
1	17	55
1	18	137
1	19	545
1	20	1486
1	21	1924
1	22	1481
2	3	0
2	4	0
2	5	760
2	6	76
2	7	25
2	8	13
2	9	108
2	10	549
2	11	1390
2	12	1929
2	13	1377
2	14	574
2	15	79
2	16	14
2	17	104
2	18	586
2	19	1471
2	20	1952
2	21	1477
2	22	598
3	4	0
3	5	0
3	6	832
3	7	317
3	8	99
3	9	523
3	10	1367
3	11	1911
3	12	1370
3	13	559
3	14	112
3	15	23
3	16	111
3	17	532
3	18	1391
3	19	1950
3	20	1397
3	21	554
3	22	117
4	5	0
4	6	0
4	7	1805
4	8	596
4	9	1384
4	10	1914
4	11	1350
4	12	531
4	13	98
4	14	15
4	15	116
4	16	567
4	17	1405
4	18	1932
4	19	1485
4	20	626
4	21	120
4	22	22
5	6	0
5	7	0
5	8	1827
5	9	1885
5	10	1392
5	11	537
5	12	104
5	13	14
5	14	99
5	15	579
5	16	1427
5	17	1896
5	18	1425
5	19	566
5	20	128
5	21	48
5	22	19
6	7	0
6	8	0
6	9	1815
6	10	564
6	11	126
6	12	19
6	13	102
6	14	544
6	15	1465
6	16	1891
6	17	1371
6	18	530
6	19	91
6	20	18
6	21	19
6	22	35
7	8	0
7	9	0
7	10	1806
7	11	581
7	12	130
7	13	573
7	14	1407
7	15	1924
7	16	1423
7	17	546
7	18	105
7	19	25
7	20	112
7	21	305
7	22	401
8	9	0
8	10	0
8	11	1788
8	12	608
8	13	1381
8	14	1839
8	15	1364
8	16	525
8	17	106
8	18	16
8	19	122
8	20	565
8	21	1419
8	22	1943
9	10	0
9	11	0
9	12	1831
9	13	1946
9	14	1369
9	15	523
9	16	109
9	17	15
9	18	117
9	19	531
9	20	1397
9	21	1920
9	22	1435
10	11	0
10	12	0
10	13	1743
10	14	545
10	15	132
10	16	17
10	17	107
10	18	569
10	19	1486
10	20	1947
10	21	1398
10	22	575
11	12	0
11	13	0
11	14	1785
11	15	541
11	16	131
11	17	533
11	18	1400
11	19	1985
11	20	1434
11	21	567
11	22	107
12	13	0
12	14	0
12	15	1770
12	16	596
12	17	1397
12	18	1909
12	19	1457
12	20	521
12	21	108
12	22	10
13	14	0
13	15	0
13	16	1785
13	17	1913
13	18	1429
13	19	562
13	20	111
13	21	11
13	22	0
14	15	0
14	16	0
14	17	1898
14	18	654
14	19	120
14	20	7
14	21	1
14	22	0
15	16	0
15	17	0
15	18	1821
15	19	321
15	20	21
15	21	0
15	22	0
16	17	0
16	18	0
16	19	806
16	20	65
16	21	3
16	22	0
17	18	0
17	19	0
17	20	795
17	21	79
17	22	2
18	19	0
18	20	0
18	21	759
18	22	67
19	20	0
19	21	0
19	22	783
20	21	0
20	22	0
21	22	0
